Local,UTC,JD(UTC),Interval,Accuracy,Description
2020/05/02 13:31:16.6,2020/05/02 20:31:16.6,2458972.355053,194:49:38.9,0.14,
2020/05/02 12:19:09.6,2020/05/02 19:19:09.6,2458972.304973,193:37:31.9,0.12,
2020/05/02 11:09:45.6,2020/05/02 18:09:45.6,2458972.256778,192:28:08.0,0.05,18
2020/05/02 01:43:23.8,2020/05/02 08:43:23.8,2458971.863469,183:01:46.1,0.10,
2020/05/02 01:15:19.8,2020/05/02 08:15:19.8,2458971.843979,182:33:42.1,0.07,
2020/05/02 01:05:43.9,2020/05/02 08:05:43.9,2458971.837314,182:24:06.2,0.16,
2020/05/02 00:26:44.1,2020/05/02 07:26:44.1,2458971.810232,181:45:06.4,0.09,
2020/05/01 23:33:41.5,2020/05/02 06:33:41.5,2458971.773397,180:52:03.8,0.06,
2020/05/01 23:22:11.6,2020/05/02 06:22:11.6,2458971.765412,180:40:33.9,0.12,Other half
2020/05/01 22:56:12.0,2020/05/02 05:56:12.0,2458971.747361,180:14:34.3,0.07,Half
2020/05/01 22:25:29.5,2020/05/02 05:25:29.5,2458971.726036,179:43:51.8,0.11,
2020/05/01 21:33:27.3,2020/05/02 04:33:27.3,2458971.689899,178:51:49.6,0.11,
2020/05/01 20:46:18.6,2020/05/02 03:46:18.6,2458971.657160,178:04:40.9,0.07,
2020/05/01 20:21:24.2,2020/05/02 03:21:24.2,2458971.639863,177:39:46.5,0.03,
2020/05/01 18:45:25.4,2020/05/02 01:45:25.4,2458971.573210,176:03:47.7,0.01,
2020/05/01 16:41:48.9,2020/05/01 23:41:48.9,2458971.487371,174:00:11.2,0.08,
2020/05/01 15:39:22.1,2020/05/01 22:39:22.1,2458971.444006,172:57:44.4,0.06,
2020/05/01 14:54:24.6,2020/05/01 21:54:24.6,2458971.412785,172:12:46.9,0.02,
2020/05/01 12:58:57.0,2020/05/01 19:58:57.0,2458971.332604,170:17:19.3,0.09,
2020/05/01 11:59:54.5,2020/05/01 18:59:54.5,2458971.291603,169:18:16.8,0.05,
2020/05/01 11:46:48.1,2020/05/01 18:46:48.1,2458971.282501,169:05:10.4,0.15,
2020/05/01 10:14:54.4,2020/05/01 17:14:54.4,2458971.218686,167:33:16.7,0.06,1
2020/05/01 01:28:31.7,2020/05/01 08:28:31.7,2458970.853144,158:46:54.0,0.12,
2020/05/01 00:56:24.3,2020/05/01 07:56:24.3,2458970.830836,158:14:46.6,0.03,5 minutes peior
2020/05/01 00:17:32.4,2020/05/01 07:17:32.4,2458970.803847,157:35:54.7,0.10,
2020/04/30 23:47:09.5,2020/05/01 06:47:09.5,2458970.782749,157:05:31.8,0.09,
2020/04/30 22:41:06.8,2020/05/01 05:41:06.8,2458970.736884,155:59:29.1,0.06,
2020/04/30 22:21:27.5,2020/05/01 05:21:27.5,2458970.723235,155:39:49.8,0.07,10 minutes ealier
2020/04/30 21:19:58.4,2020/05/01 04:19:58.4,2458970.680537,154:38:20.7,0.04,
2020/04/30 20:52:54.2,2020/05/01 03:52:54.2,2458970.661738,154:11:16.5,0.08,
2020/04/30 20:21:35.2,2020/05/01 03:21:35.2,2458970.639991,153:39:57.5,0.03,
2020/04/30 20:03:47.2,2020/05/01 03:03:47.2,2458970.627630,153:22:09.5,0.08,
2020/04/30 19:36:16.7,2020/05/01 02:36:16.7,2458970.608527,152:54:39.0,0.08,
2020/04/30 19:06:32.4,2020/05/01 02:06:32.4,2458970.587875,152:24:54.7,0.09,
2020/04/30 18:29:11.9,2020/05/01 01:29:11.9,2458970.561943,151:47:34.2,0.09,
2020/04/30 17:45:49.1,2020/05/01 00:45:49.1,2458970.531818,151:04:11.4,0.05,
2020/04/30 16:11:15.7,2020/04/30 23:11:15.7,2458970.466154,149:29:38.0,0.07,
2020/04/30 14:26:14.0,2020/04/30 21:26:14.0,2458970.393218,147:44:36.3,0.05,
2020/04/30 13:24:33.0,2020/04/30 20:24:33.0,2458970.350382,146:42:55.3,0.10,
2020/04/30 12:35:59.2,2020/04/30 19:35:59.2,2458970.316657,145:54:21.5,0.15,
2020/04/30 11:30:46.1,2020/04/30 18:30:46.1,2458970.271366,144:49:08.4,0.03,
2020/04/30 10:39:29.8,2020/04/30 17:39:29.8,2458970.235761,143:57:52.1,0.04,18
2020/04/30 01:20:10.5,2020/04/30 08:20:10.5,2458969.847343,134:38:32.8,0.03,
2020/04/30 01:13:30.6,2020/04/30 08:13:30.6,2458969.842715,134:31:52.9,0.12,Missed a stamp around three  two smokes came from the contaminate florhing
2020/04/30 00:51:15.7,2020/04/30 07:51:15.7,2458969.827265,134:09:38.0,0.02,
2020/04/30 00:23:15.9,2020/04/30 07:23:15.9,2458969.807822,133:41:38.2,0.15,
2020/04/30 00:07:56.9,2020/04/30 07:07:56.9,2458969.797187,133:26:19.2,0.12,
2020/04/29 22:42:43.0,2020/04/30 05:42:43.0,2458969.737998,132:01:05.3,0.06,
2020/04/29 21:54:11.6,2020/04/30 04:54:11.6,2458969.704301,131:12:33.9,0.06,
2020/04/29 20:34:26.7,2020/04/30 03:34:26.7,2458969.648920,129:52:49.0,0.09,
2020/04/29 19:36:06.7,2020/04/30 02:36:06.7,2458969.608411,128:54:29.0,0.04,
2020/04/29 18:40:10.6,2020/04/30 01:40:10.6,2458969.569567,127:58:32.9,0.02,
2020/04/29 17:55:36.6,2020/04/30 00:55:36.6,2458969.538619,127:13:58.9,0.04,
2020/04/29 17:05:31.6,2020/04/30 00:05:31.6,2458969.503838,126:23:53.9,0.05,
2020/04/29 16:28:53.3,2020/04/29 23:28:53.3,2458969.478395,125:47:15.6,0.06,
2020/04/29 13:46:25.8,2020/04/29 20:46:25.8,2458969.365577,123:04:48.1,0.06,
2020/04/29 11:59:34.5,2020/04/29 18:59:34.5,2458969.291372,121:17:56.9,0.07,
2020/04/29 11:04:51.8,2020/04/29 18:04:51.8,2458969.253378,120:23:14.2,0.10,17
2020/04/29 01:21:30.5,2020/04/29 08:21:30.5,2458968.848270,110:39:52.8,0.01,
2020/04/29 00:56:09.4,2020/04/29 07:56:09.4,2458968.830664,110:14:31.7,0.10,
2020/04/29 00:31:11.9,2020/04/29 07:31:11.9,2458968.813333,109:49:34.2,0.09,
2020/04/29 00:09:54.0,2020/04/29 07:09:54.0,2458968.798542,109:28:16.4,0.07,
2020/04/28 22:33:05.6,2020/04/29 05:33:05.6,2458968.731314,107:51:27.9,0.09,
2020/04/28 21:36:16.5,2020/04/29 04:36:16.5,2458968.691858,106:54:38.8,0.06,
2020/04/28 21:04:42.9,2020/04/29 04:04:42.9,2458968.669941,106:23:05.2,0.06,
2020/04/28 20:08:08.8,2020/04/29 03:08:08.8,2458968.630658,105:26:31.2,0.08,
2020/04/28 19:05:21.0,2020/04/29 02:05:21.0,2458968.587049,104:23:43.3,0.06,
2020/04/28 18:00:19.0,2020/04/29 01:00:19.0,2458968.541886,103:18:41.3,0.06,
2020/04/28 16:58:07.9,2020/04/28 23:58:07.9,2458968.498702,102:16:30.2,0.11,
2020/04/28 15:44:20.4,2020/04/28 22:44:20.4,2458968.447458,101:02:42.7,0.08,
2020/04/28 15:16:27.3,2020/04/28 22:16:27.3,2458968.428094,100:34:49.6,0.12,
2020/04/28 14:18:53.1,2020/04/28 21:18:53.1,2458968.388114,99:37:15.4,0.03,
2020/04/28 13:22:15.2,2020/04/28 20:22:15.2,2458968.348787,98:40:37.5,0.14,
2020/04/28 11:59:39.2,2020/04/28 18:59:39.2,2458968.291426,97:18:01.5,0.01,
2020/04/28 10:33:17.6,2020/04/28 17:33:17.6,2458968.231454,95:51:39.9,0.04,14
2020/04/28 02:15:04.2,2020/04/28 09:15:04.2,2458967.885466,87:33:26.5,0.03,
2020/04/28 01:38:32.4,2020/04/28 08:38:32.4,2458967.860097,86:56:54.7,0.10,
2020/04/28 01:24:30.8,2020/04/28 08:24:30.8,2458967.850357,86:42:53.1,0.04,
2020/04/28 00:57:23.9,2020/04/28 07:57:23.9,2458967.831526,86:15:46.2,0.02,
2020/04/28 00:37:02.9,2020/04/28 07:37:02.9,2458967.817395,85:55:25.2,0.08,
2020/04/28 00:19:03.0,2020/04/28 07:19:03.0,2458967.804895,85:37:25.3,0.07,
2020/04/27 23:21:33.2,2020/04/28 06:21:33.2,2458967.764968,84:39:55.5,0.04,
2020/04/27 21:56:31.7,2020/04/28 04:56:31.7,2458967.705922,83:14:54.0,0.10,
2020/04/27 21:35:43.7,2020/04/28 04:35:43.7,2458967.691477,82:54:06.0,0.03,
2020/04/27 21:03:16.3,2020/04/28 04:03:16.3,2458967.668938,82:21:38.6,0.07,
2020/04/27 20:16:02.0,2020/04/28 03:16:02.0,2458967.636134,81:34:24.3,0.09,
2020/04/27 19:35:21.1,2020/04/28 02:35:21.1,2458967.607883,80:53:43.4,0.10,
2020/04/27 19:08:02.3,2020/04/28 02:08:02.3,2458967.588915,80:26:24.6,0.09,
2020/04/27 18:07:39.7,2020/04/28 01:07:39.7,2458967.546987,79:26:02.0,0.15,
2020/04/27 16:48:21.6,2020/04/27 23:48:21.6,2458967.491917,78:06:43.9,0.07,
2020/04/27 16:04:22.8,2020/04/27 23:04:22.8,2458967.461375,77:22:45.1,0.03,
2020/04/27 15:15:52.3,2020/04/27 22:15:52.3,2458967.427689,76:34:14.6,0.11,
2020/04/27 13:51:27.1,2020/04/27 20:51:27.1,2458967.369063,75:09:49.4,0.07,10 minutes prior
2020/04/27 13:00:22.6,2020/04/27 20:00:22.6,2458967.333595,74:18:44.9,0.06,
2020/04/27 11:57:29.9,2020/04/27 18:57:29.9,2458967.289930,73:15:52.3,0.02,
2020/04/27 11:37:47.7,2020/04/27 18:37:47.7,2458967.276246,72:56:10.0,0.03,
2020/04/27 10:58:32.0,2020/04/27 17:58:32.0,2458967.248981,72:16:54.3,0.07,16
2020/04/27 01:25:34.4,2020/04/27 08:25:34.4,2458966.851092,62:43:56.7,0.05,
2020/04/27 00:41:05.0,2020/04/27 07:41:05.0,2458966.820197,61:59:27.3,0.02,
2020/04/26 23:09:09.4,2020/04/27 06:09:09.4,2458966.756359,60:27:31.7,0.02,
2020/04/26 22:30:17.7,2020/04/27 05:30:17.7,2458966.729371,59:48:40.0,0.11,
2020/04/26 21:29:53.5,2020/04/27 04:29:53.5,2458966.687425,58:48:15.8,0.02,
2020/04/26 20:37:35.3,2020/04/27 03:37:35.3,2458966.651103,57:55:57.6,0.03,
2020/04/26 19:11:40.8,2020/04/27 02:11:40.8,2458966.591444,56:30:03.1,0.00,
2020/04/26 18:24:52.9,2020/04/27 01:24:52.9,2458966.558946,55:43:15.2,0.08,
2020/04/26 16:19:59.6,2020/04/26 23:19:59.6,2458966.472217,53:38:21.9,0.02,
2020/04/26 15:19:05.5,2020/04/26 22:19:05.5,2458966.429925,52:37:27.8,0.09,
2020/04/26 13:26:59.4,2020/04/26 20:26:59.4,2458966.352077,50:45:21.7,0.08,
2020/04/26 12:04:51.0,2020/04/26 19:04:51.0,2458966.295035,49:23:13.3,0.07,
2020/04/26 11:21:37.6,2020/04/26 18:21:37.6,2458966.265019,48:39:59.9,0.01,10
2020/04/26 01:31:04.7,2020/04/26 08:31:04.7,2458965.854915,38:49:27.0,0.01,
2020/04/26 01:11:10.1,2020/04/26 08:11:10.1,2458965.841089,38:29:32.4,0.01,5 min before this time stamp
2020/04/25 23:23:27.2,2020/04/26 06:23:27.2,2458965.766287,36:41:49.5,0.16,
2020/04/25 22:53:04.4,2020/04/26 05:53:04.4,2458965.745189,36:11:26.7,0.07,Oh
2020/04/25 22:32:47.4,2020/04/26 05:32:47.4,2458965.731104,35:51:09.7,0.11,H
2020/04/25 22:04:57.5,2020/04/26 05:04:57.5,2458965.711777,35:23:19.8,0.06,
2020/04/25 21:33:43.1,2020/04/26 04:33:43.1,2458965.690082,34:52:05.4,0.03,
2020/04/25 20:55:28.5,2020/04/26 03:55:28.5,2458965.663524,34:13:50.8,0.12,
2020/04/25 20:06:06.5,2020/04/26 03:06:06.5,2458965.629242,33:24:28.8,0.10,
2020/04/25 18:50:06.2,2020/04/26 01:50:06.2,2458965.576460,32:08:28.5,0.10,
2020/04/25 18:12:48.9,2020/04/26 01:12:48.9,2458965.550566,31:31:11.2,0.02,Half
2020/04/25 17:32:56.4,2020/04/26 00:32:56.4,2458965.522875,30:51:18.7,0.07,
2020/04/25 16:24:45.1,2020/04/25 23:24:45.1,2458965.475522,29:43:07.4,0.07,
2020/04/25 15:46:03.0,2020/04/25 22:46:03.0,2458965.448646,29:04:25.3,0.14,
2020/04/25 14:27:33.9,2020/04/25 21:27:33.9,2458965.394142,27:45:56.2,0.03,Half
2020/04/25 13:34:47.6,2020/04/25 20:34:47.6,2458965.357496,26:53:09.9,0.08,
2020/04/25 12:46:15.6,2020/04/25 19:46:15.6,2458965.323791,26:04:37.9,0.03,
2020/04/25 12:07:33.5,2020/04/25 19:07:33.5,2458965.296916,25:25:55.8,0.10,7
2020/04/25 02:04:47.0,2020/04/25 09:04:47.0,2458964.878321,15:23:09.3,0.04,
2020/04/25 01:49:40.9,2020/04/25 08:49:40.9,2458964.867834,15:08:03.2,0.08,
2020/04/25 00:36:17.6,2020/04/25 07:36:17.6,2458964.816871,13:54:39.9,0.15,Half
2020/04/25 00:05:20.3,2020/04/25 07:05:20.3,2458964.795374,13:23:42.6,0.07,Other half
2020/04/24 23:22:45.7,2020/04/25 06:22:45.7,2458964.765807,12:41:08.0,0.08,Half?
2020/04/24 22:40:23.3,2020/04/25 05:40:23.3,2458964.736381,11:58:45.6,0.06,
2020/04/24 21:34:49.1,2020/04/25 04:34:49.1,2458964.690846,10:53:11.4,0.03,
2020/04/24 21:08:48.5,2020/04/25 04:08:48.5,2458964.672784,10:27:10.8,0.08,Half
2020/04/24 20:35:30.4,2020/04/25 03:35:30.4,2458964.649658,9:53:52.7,0.06,
2020/04/24 19:36:36.2,2020/04/25 02:36:36.2,2458964.608752,8:54:58.5,0.05,
2020/04/24 18:24:56.4,2020/04/25 01:24:56.4,2458964.558986,7:43:18.7,0.10,
2020/04/24 17:07:25.4,2020/04/25 00:07:25.4,2458964.505156,6:25:47.7,0.03,
2020/04/24 15:52:46.0,2020/04/24 22:52:46.0,2458964.453310,5:11:08.3,0.04,
2020/04/24 13:49:27.8,2020/04/24 20:49:27.8,2458964.367682,3:07:50.1,9999,
2020/04/24 13:01:18.5,2020/04/24 20:01:18.5,2458964.334242,2:19:40.8,0.04,
2020/04/24 12:26:45.2,2020/04/24 19:26:45.2,2458964.310245,1:45:07.5,0.07,
2020/04/24 11:42:22.7,2020/04/24 18:42:22.7,2458964.279430,1:00:45.0,0.09,
2020/04/24 10:41:37.7,2020/04/24 17:41:37.7,2458964.237242,00:00:00.0,0.02,6
